time,input,output
436.0,1363.0,1325.3030767752875
437.0,1364.0,1325.7273075814655
438.0,1364.0,1326.2954806860992
439.0,1363.0,1326.7216105145744
440.0,1362.0,1327.0412078859308
441.0,1365.0,1327.530905914448
442.0,1363.0,1328.148179435836
443.0,1362.0,1328.361134576877
444.0,1363.0,1328.7708509326578
445.0,1364.0,1329.3281381994934
446.0,1362.0,1329.7461036496202
447.0,1364.0,1330.309577737215
448.0,1365.0,1330.7321833029114
449.0,1363.0,1331.0491374771836
450.0,1364.0,1331.5368531078877
451.0,1363.0,1331.9026398309159
452.0,1363.0,1332.4269798731868
453.0,1363.0,1332.5702349048902
454.0,1363.0,1332.9276761786678
455.0,1364.0,1333.1957571340008
456.0,1364.0,1333.6468178505006
457.0,1363.0,1333.9851133878756
458.0,1365.0,1334.2388350409067
459.0,1362.0,1334.67912628068
460.0,1360.0,1335.00934471051
461.0,1363.0,1335.2570085328825
462.0,1363.0,1335.692756399662
463.0,1360.0,1336.0195672997465
464.0,1363.0,1336.2646754748098
465.0,1364.0,1336.6985066061075
466.0,1363.0,1337.0238799545805
467.0,1364.0,1337.5179099659354
468.0,1363.0,1337.6384324744515
469.0,1366.0,1337.9788243558387
470.0,1363.0,1337.984118266879
471.0,1364.0,1338.2380887001593
472.0,1362.0,1338.6785665251195
473.0,1361.0,1338.7589248938398
474.0,1362.0,1339.3191936703797
475.0,1363.0,1339.7393952527848
476.0,1363.0,1340.0545464395886
477.0,1364.0,1340.2909098296914
478.0,1363.0,1340.4681823722685
479.0,1362.0,1340.8511367792014
480.0,1363.0,1340.888352584401
481.0,1363.0,1341.1662644383007
482.0,1364.0,1341.3746983287256
483.0,1363.0,1341.5310237465442
484.0,1364.0,1341.6482678099082
485.0,1364.0,1341.9862008574312
486.0,1364.0,1341.9896506430734
487.0,1363.0,1342.2422379823051
488.0,1362.0,1342.6816784867287
489.0,1362.0,1343.2612588650466
490.0,1365.0,1343.445944148785
491.0,1362.0,1343.5844581115887
492.0,1363.0,1343.6883435836914
493.0,1363.0,1344.0162576877685
494.0,1362.0,1344.2621932658265
495.0,1363.0,1344.1966449493698
496.0,1363.0,1344.6474837120272
497.0,1364.0,1344.9856127840203
498.0,1365.0,1344.9892095880152
499.0,1364.0,1345.2419071910115
500.0,1364.0,1345.4314303932586
501.0,1363.0,1346.3235727949439
502.0,1365.0,1346.2426795962078
503.0,1363.0,1346.682009697156
504.0,1364.0,1346.761507272867
505.0,1363.0,1346.8211304546503
506.0,1363.0,1346.8658478409877
507.0,1363.0,1347.1493858807407
508.0,1365.0,1347.3620394105556
509.0,1365.0,1347.5215295579167
510.0,1362.0,1347.6411471684376
511.0,1362.0,1347.980860376328
512.0,1364.0,1347.985645282246
513.0,1362.0,1348.2392339616845
514.0,1364.0,1348.6794254712634
515.0,1362.0,1348.7595691034476
516.0,1362.0,1348.8196768275857
517.0,1362.0,1348.8647576206893
518.0,1362.0,1348.898568215517
519.0,1364.0,1348.9239261616376
520.0,1364.0,1349.1929446212282
521.0,1362.0,1349.6447084659212
522.0,1364.0,1349.733531349441
523.0,1366.0,1350.0501485120808
524.0,1362.0,1350.2876113840607
