time,input,output
394.0,677.0,816.0178582889569
395.0,678.0,797.7633937167177
396.0,678.0,826.5725452875383
397.0,680.0,810.6794089656537
398.0,678.0,822.2595567242403
399.0,677.0,814.9446675431802
400.0,678.0,797.7085006573852
401.0,678.0,827.2813754930389
402.0,679.0,811.7110316197792
403.0,678.0,823.2832737148344
404.0,682.0,816.2124552861258
405.0,679.0,798.4093414645943
406.0,678.0,827.8070060984458
407.0,678.0,811.6052545738344
408.0,678.0,822.9539409303758
409.0,679.0,815.7154556977819
410.0,679.0,798.2865917733363
411.0,678.0,827.4649438300023
412.0,680.0,811.5987078725018
413.0,679.0,823.4490309043763
414.0,677.0,815.3367731782822
415.0,678.0,797.7525798837116
416.0,679.0,827.3144349127838
417.0,677.0,811.4858261845878
418.0,677.0,822.8643696384408
419.0,678.0,816.6482772288307
420.0,677.0,797.986207921623
421.0,678.0,826.4896559412173
422.0,678.0,811.367241955913
423.0,677.0,822.7754314669347
424.0,679.0,814.8315736002011
425.0,677.0,796.8736802001508
426.0,678.0,825.4052601501131
427.0,681.0,810.0539451125849
428.0,678.0,821.0404588344386
429.0,678.0,813.780344125829
430.0,678.0,796.0852580943717
431.0,678.0,825.0639435707787
432.0,679.0,808.797957678084
433.0,677.0,820.098468258563
434.0,677.0,812.3238511939222
435.0,679.0,794.4928883954417
436.0,679.0,823.3696662965813
437.0,679.0,807.777249722436
438.0,678.0,819.082937291827
439.0,679.0,811.3122029688702
440.0,679.0,793.7341522266527
441.0,678.0,822.5506141699896
442.0,676.0,806.4129606274921
443.0,679.0,817.8097204706191
444.0,678.0,810.3572903529644
445.0,677.0,792.2679677647233
446.0,678.0,821.9509758235424
447.0,679.0,805.7132318676568
448.0,679.0,817.2849239007426
449.0,677.0,809.9636929255569
450.0,680.0,791.4727696941677
451.0,680.0,820.6045772706258
452.0,678.0,804.4534329529694
453.0,680.0,816.590074714727
454.0,677.0,808.9425560360453
455.0,679.0,791.206917027034
456.0,677.0,820.4051877702755
457.0,678.0,803.3038908277066
458.0,679.0,815.2279181207799
459.0,678.0,807.9209385905849
460.0,679.0,790.1907039429386
461.0,679.0,819.8930279572039
462.0,680.0,803.4197709679029
463.0,677.0,814.5648282259272
464.0,678.0,806.9236211694454
465.0,678.0,789.1927158770841
466.0,677.0,818.1445369078131
467.0,679.0,801.8584026808599
468.0,679.0,813.3938020106449
469.0,680.0,806.0453515079837
470.0,679.0,788.0340136309878
471.0,678.0,817.2755102232409
472.0,679.0,800.7066326674307
473.0,679.0,812.529974500573
474.0,678.0,804.3974808754297
475.0,679.0,786.7981106565722
476.0,677.0,816.0985829924292
477.0,679.0,799.3239372443219
478.0,678.0,811.2429529332414
479.0,679.0,803.9322146999311
480.0,678.0,785.4491610249484
481.0,677.0,814.5868707687113
482.0,678.0,798.4401530765334
483.0,677.0,810.5801148074
484.0,678.0,802.68508610555
485.0,678.0,785.5138145791625
486.0,676.0,815.1353609343719
487.0,679.0,799.8515207007789
488.0,678.0,812.1386405255842
489.0,680.0,804.853980394188
490.0,677.0,786.890485295641
491.0,679.0,816.9178639717308
492.0,679.0,800.9383979787981
493.0,680.0,812.2037984840986
494.0,680.0,804.6528488630739
495.0,679.0,787.4896366473055
496.0,679.0,816.8672274854791
497.0,679.0,800.9004206141094
498.0,678.0,812.425315460582
499.0,677.0,804.5689865954365
500.0,676.0,786.9267399465774
501.0,679.0,815.445054959933
502.0,679.0,798.0837912199497
503.0,680.0,810.0628434149623
504.0,679.0,802.2971325612218
505.0,678.0,784.2228494209164
506.0,678.0,813.4171370656873
507.0,679.0,796.8128527992654
508.0,676.0,808.6096395994491
509.0,678.0,801.2072296995868
510.0,678.0,782.6554222746902
511.0,680.0,812.2415667060177
512.0,678.0,795.9311750295133
513.0,678.0,807.948381272135
514.0,680.0,800.4612859541012
515.0,678.0,782.5959644655759
516.0,677.0,811.9469733491819
517.0,675.0,795.4602300118864
518.0,678.0,807.8451725089149
519.0,678.0,800.6338793816861
520.0,680.0,782.4754095362646
521.0,680.0,812.1065571521984
522.0,678.0,795.3299178641488
523.0,679.0,807.2474383981116
524.0,680.0,800.1855787985837
525.0,679.0,781.8891840989378
526.0,678.0,811.4168880742034
527.0,679.0,795.3126660556525
528.0,679.0,806.7344995417393
529.0,676.0,799.0508746563045
530.0,676.0,781.2881559922283
531.0,679.0,811.2161169941712
532.0,680.0,795.4120877456285
533.0,678.0,807.3090658092214
534.0,678.0,799.731799356916
535.0,679.0,781.798849517687
536.0,678.0,811.0991371382653
537.0,676.0,794.824352853699
538.0,679.0,806.6182646402742
539.0,679.0,799.4636984802057
540.0,676.0,781.3477738601543
541.0,679.0,811.0108303951158
542.0,679.0,795.0081227963369
543.0,679.0,806.7560920972527
544.0,680.0,798.3170690729395
545.0,680.0,780.2378018047046
546.0,678.0,809.4283513535285
547.0,677.0,792.8212635151464
548.0,678.0,804.6159476363598
549.0,678.0,796.7119607272698
550.0,675.0,778.2839705454523
551.0,680.0,808.2129779090892
552.0,676.0,791.6597334318169
553.0,678.0,803.4948000738627
554.0,679.0,796.371100055397
555.0,676.0,777.5283250415478
556.0,678.0,807.3962437811608
557.0,678.0,791.5471828358707
558.0,677.0,803.4103871269031
559.0,676.0,795.5577903451773
560.0,679.0,777.668342758883
561.0,678.0,806.7512570691622
562.0,680.0,790.3134428018716
563.0,677.0,802.2350821014037
564.0,679.0,794.9263115760527
565.0,678.0,776.6947336820396
566.0,678.0,805.7710502615297
567.0,677.0,788.5782876961473
568.0,679.0,800.9337157721104
569.0,678.0,792.7002868290829
570.0,677.0,774.0252151218122
571.0,679.0,804.0189113413592
572.0,679.0,788.2641835060194
573.0,677.0,800.4481376295146
574.0,678.0,792.086103222136
575.0,679.0,773.814577416602
576.0,677.0,802.8609330624515
577.0,677.0,786.8956997968387
578.0,677.0,798.921774847629
579.0,679.0,792.1913311357217
580.0,677.0,774.1434983517913
581.0,679.0,803.8576237638435
582.0,678.0,787.3932178228827
583.0,680.0,799.794913367162
584.0,679.0,791.8461850253716
585.0,680.0,773.6346387690287
586.0,676.0,802.9759790767715
587.0,677.0,786.9819843075786
588.0,677.0,798.986488230684
589.0,677.0,791.2398661730131
590.0,676.0,772.9298996297598
591.0,678.0,802.1974247223199
592.0,678.0,785.8980685417399
593.0,680.0,798.6735514063049
594.0,677.0,790.7551635547287
595.0,678.0,772.3163726660465
596.0,680.0,801.7372794995349
597.0,678.0,785.8029596246512
598.0,678.0,797.8522197184884
